,match_id,radiant_win,avg_mmr,duration,lobby_type,game_mode,radiant_team,dire_team
0,5962636902,False,4658,2548,7,22,"106,119,44,86,104","100,13,70,5,16"
1,5962636903,True,5045,3450,0,22,"7,33,41,135,21","95,2,50,5,14"
2,5962637108,False,4730,1876,7,22,"59,88,8,27,107","32,16,9,128,94"
3,5962637716,True,4709,2086,7,22,"84,36,100,48,135","31,34,70,14,108"
4,5962638703,False,4632,1846,7,22,"107,69,31,42,35","135,104,119,74,68"
5,5962639207,True,4530,3157,0,3,"70,128,112,126,9","109,52,31,96,21"
6,5962639318,False,4722,2472,0,22,"84,9,52,73,16","35,98,74,26,10"
7,5962640215,False,4533,2664,7,22,"84,113,72,83,96","49,100,63,9,44"
8,5962640602,False,5289,2054,7,22,"22,99,121,70,84","54,47,46,75,25"
9,5962640916,False,4623,1592,7,3,"81,29,120,56,11","46,21,86,15,108"
10,5962642017,False,5252,2166,7,22,"9,72,49,50,59","109,6,13,2,135"
11,5962642905,True,4551,2503,7,22,"39,40,70,19,60","25,26,59,111,96"
12,5962642909,False,4849,1948,7,22,"86,26,44,62,40","5,98,101,74,12"
13,5962643900,True,4580,2276,7,22,"35,121,14,104,48","38,119,85,98,94"
14,5962644313,False,4865,1851,7,3,"95,28,88,49,83","35,29,90,128,48"
15,5962644612,True,4655,1672,7,3,"36,111,52,47,70","64,9,135,20,60"
16,5962645903,False,5362,1499,7,22,"7,37,33,70,121","119,17,8,20,135"
17,5962647500,True,5054,2085,7,22,"56,6,135,64,25","27,48,26,96,34"
18,5962647813,True,4608,1676,7,22,"46,51,10,60,13","44,86,96,74,14"
19,5962648003,False,5459,2520,7,22,"62,68,22,45,54","120,5,21,70,9"
20,5962648006,False,4583,2827,7,22,"84,85,36,32,135","6,26,28,106,64"
21,5962648217,True,5197,3364,0,3,"26,14,69,1,34","12,16,121,19,76"
22,5962649214,True,4513,1888,7,22,"111,76,86,41,96","30,93,47,126,135"
23,5962649310,True,4728,2385,7,22,"1,128,14,98,52","9,74,37,29,93"
24,5962649600,False,4598,2094,1,3,"95,68,21,2,38","13,12,27,9,129"
25,5962649907,True,5622,1553,1,2,"128,29,42,97,87","22,121,102,54,19"
26,5962650008,False,4524,2796,0,22,"84,35,28,29,8","6,53,90,38,56"
27,5962650804,True,5079,2616,0,3,"135,28,106,30,12","15,14,123,2,126"
28,5962650904,True,4929,2068,7,22,"50,22,106,129,18","97,64,109,11,9"
29,5962651017,True,4592,1925,7,22,"56,119,106,29,27","13,114,49,16,17"
30,5962651214,True,4934,1300,7,22,"32,88,21,54,27","31,7,49,67,61"
31,5962652509,False,4682,2450,0,3,"9,52,8,22,31","47,74,27,41,86"
32,5962652607,False,4817,3541,7,22,"75,103,44,68,17","93,29,21,35,86"
33,5962653706,True,5096,1777,7,22,"92,6,51,129,110","126,104,70,123,26"
34,5962654509,True,4619,1692,7,3,"7,135,72,102,62","94,8,107,96,75"
35,5962654510,False,4820,2611,7,3,"121,48,19,17,93","22,123,26,12,60"
36,5962656617,False,4750,1352,7,3,"108,23,110,1,76","64,72,47,39,12"
37,5962656819,False,4917,1950,7,22,"110,1,78,7,60","135,6,85,74,25"
38,5962657612,False,4871,1954,7,22,"13,86,8,135,14","87,129,74,1,61"
39,5962657800,False,5336,1952,7,3,"8,22,62,88,128","48,26,60,25,14"
40,5962658219,True,5205,2742,7,22,"121,96,119,70,34","129,100,135,48,111"
41,5962658406,True,4841,1239,7,22,"128,47,51,12,28","49,26,88,17,44"
42,5962658506,True,4609,1805,7,22,"34,13,135,12,21","68,11,48,110,129"
43,5962658705,False,4513,2276,7,22,"13,75,107,8,129","9,126,37,96,41"
