,match_id,radiant_win,avg_mmr,duration,lobby_type,game_mode,radiant_team,dire_team
0,6079505911,False,3827,2150,0,22,"53,14,123,35,67","99,89,87,18,43"
1,6079506103,False,4338,2177,7,22,"98,47,94,7,91","43,78,16,81,92"
2,6079506117,False,3667,1668,0,4,"128,75,41,64,135","36,73,51,79,84"
3,6079506209,False,4345,2063,7,22,"93,29,73,2,63","12,28,19,83,13"
4,6079506314,True,3743,1543,7,22,"14,16,70,3,2","19,113,32,121,11"
5,6079506412,True,3737,2249,7,22,"32,71,45,87,47","11,27,42,25,97"
6,6079506416,False,3699,2202,7,22,"13,31,67,101,104","11,128,8,30,69"
7,6079506504,False,3920,2363,7,22,"13,16,90,22,114","2,84,10,9,46"
8,6079506618,True,4676,2063,7,22,"34,14,44,121,69","58,27,2,70,97"
9,6079506719,True,4151,1508,0,22,"88,64,12,36,99","54,71,107,69,10"
10,6079506817,True,3750,1934,7,22,"14,96,99,31,1","126,107,49,112,42"
11,6079506917,True,4012,1782,7,22,"74,1,91,14,26","16,93,39,97,34"
12,6079507118,True,3824,1885,0,22,"55,107,1,92,114","59,6,26,30,106"
13,6079507200,True,5004,1589,7,22,"49,72,3,14,34","105,67,61,27,23"
14,6079507404,False,3525,1694,7,22,"2,74,41,46,64","26,56,128,76,67"
15,6079507406,True,3745,2137,7,22,"21,9,46,112,2","35,85,135,53,63"
16,6079507503,False,3633,2265,7,22,"71,68,69,27,8","94,9,74,96,79"
17,6079507607,True,3880,2121,7,22,"26,42,120,101,70","79,14,73,1,5"
18,6079507701,True,3775,1949,7,22,"42,26,128,119,46","20,105,129,101,109"
19,6079508011,True,3746,1578,7,22,"40,97,5,6,46","25,121,67,98,13"
20,6079508504,False,4252,1893,7,22,"26,99,128,18,23","30,9,42,97,78"
21,6079509113,True,3606,1788,0,22,"48,20,28,110,74","69,41,14,60,128"
22,6079509401,False,4196,1922,7,22,"13,108,88,42,121","74,41,55,64,6"
23,6079510016,False,3749,2070,7,22,"83,86,98,35,6","68,119,52,67,96"
24,6079510318,False,4218,2034,7,22,"95,30,119,129,25","29,48,113,86,68"
25,6079511102,True,3676,2056,7,22,"27,45,6,49,14","108,105,8,35,64"
26,6079511103,False,3661,1824,0,22,"58,48,73,25,97","29,120,4,74,89"
27,6079511107,True,4205,1810,0,22,"28,70,110,13,84","86,14,129,71,128"
28,6079511206,False,3937,1940,7,22,"52,106,1,30,49","26,76,113,98,86"
29,6079511312,True,4203,2011,7,22,"67,13,39,68,57","46,97,95,2,9"
30,6079512517,True,3574,1894,7,22,"9,11,109,98,101","67,25,14,2,87"
31,6079513014,False,3768,1916,7,3,"46,135,42,90,80","108,40,73,32,49"
32,6079513509,False,3818,1583,7,22,"2,17,72,75,14","73,51,104,50,70"
33,6079513515,True,6936,1861,7,22,"111,121,67,13,61","25,123,96,93,107"
34,6079513916,False,4839,1230,7,22,"102,17,21,123,8","61,37,47,81,48"
35,6079514200,True,3520,1687,7,22,"31,51,25,81,9","98,82,36,104,126"
36,6079515004,True,3581,1895,7,22,"101,48,86,46,129","16,94,87,114,25"
37,6079515113,True,4015,1523,7,3,"106,114,7,69,3","59,71,12,99,121"
38,6079515415,True,3754,1565,7,22,"55,30,21,52,6","99,27,90,13,56"
39,6079516711,True,3633,1733,7,22,"114,37,14,54,73","123,105,82,16,63"
40,6079517403,False,4012,529,0,22,"40,29,30,109,14","5,104,64,41,59"
41,6079520509,True,3720,1175,7,22,"97,36,35,81,30","74,90,103,14,1"
42,6079520513,True,3787,1305,7,22,"90,48,27,81,11","93,82,30,5,2"
43,6079521412,True,3866,1407,7,22,"99,11,5,114,14","86,59,29,107,80"
44,6079522201,False,3736,1484,7,22,"26,129,14,109,74","5,11,91,67,99"
45,6079523419,True,4131,1287,7,22,"83,21,46,54,68","99,42,112,119,19"
46,6079524115,False,3753,766,7,22,"41,11,16,121,9","74,14,48,45,2"
47,6079524608,False,4787,1030,7,22,"110,104,96,40,74","128,44,50,9,53"
48,6079525606,True,4471,804,0,22,"57,100,71,128,111","51,37,105,64,53"
49,6079527805,True,3767,830,7,22,"16,70,11,90,51","103,112,98,107,72"
0,6079500515,False,4029,1999,7,22,"62,113,112,8,100","54,50,51,9,10"
1,6079500613,True,3509,1829,0,4,"7,67,18,79,44","23,90,110,22,1"
2,6079500619,True,3541,1935,7,22,"76,129,112,8,5","10,86,74,123,98"
3,6079500701,False,5621,1765,7,22,"97,86,1,26,8","68,7,56,99,94"
4,6079500801,False,3592,2301,7,22,"14,84,42,90,86","32,76,50,26,129"
5,6079500805,True,4032,2102,7,22,"14,74,71,47,41","6,106,28,105,23"
6,6079501006,True,3698,1252,7,22,"53,61,110,3,49","48,111,97,75,46"
7,6079501007,False,4138,2486,7,22,"93,84,74,73,68","14,26,46,129,48"
8,6079501102,False,4241,1783,7,3,"76,88,62,84,6","128,67,36,75,81"
9,6079501113,False,4751,2486,7,22,"81,111,63,123,128","47,5,50,67,135"
10,6079501115,False,4464,2079,7,22,"31,26,21,18,120","8,46,25,88,81"
11,6079501116,False,4322,2034,7,22,"14,13,2,31,119","128,67,29,123,106"
12,6079501200,True,4647,1956,7,22,"120,85,58,74,12","29,41,87,14,76"
13,6079501415,True,3574,1937,7,22,"78,37,82,1,101","14,69,72,59,32"
14,6079501501,True,3716,1308,7,22,"73,16,2,123,64","14,27,108,93,51"
15,6079501502,True,3678,2073,7,22,"17,41,97,68,26","110,113,40,129,70"
16,6079501503,True,4013,2287,7,22,"49,106,9,94,121","81,6,31,22,71"
17,6079501506,False,3701,2402,0,22,"2,128,86,8,10","112,37,52,42,14"
18,6079501700,True,3991,2461,7,22,"114,14,22,112,104","8,19,88,13,123"
19,6079501705,False,3822,1940,7,22,"2,26,11,40,70","101,60,64,8,9"
20,6079501706,True,3744,2575,7,22,"67,49,48,20,23","94,101,112,46,129"
21,6079501707,True,3571,2501,7,22,"28,32,81,17,26","40,76,83,25,41"
22,6079501804,False,3571,1818,7,22,"41,108,34,33,87","2,46,8,83,75"
23,6079502006,True,4802,1785,0,22,"25,26,48,17,108","119,9,71,95,11"
24,6079502109,True,3503,1956,7,22,"61,113,112,75,123","129,11,5,33,93"
25,6079502203,False,3699,2177,7,22,"78,14,110,10,119","50,70,121,104,74"
26,6079502307,True,3667,1883,7,22,"92,41,87,104,61","42,30,105,60,11"
27,6079502416,True,3837,1651,7,22,"99,48,7,27,126","123,14,44,120,17"
28,6079502512,True,3780,2023,7,22,"26,11,2,7,6","59,91,9,48,92"
