,match_id,radiant_win,avg_mmr,duration,lobby_type,game_mode,radiant_team,dire_team
99,5233574212,False,5469,1398,7,22,"58,13,31,69,6","36,64,28,44,19"
98,5233573507,False,4230,1292,7,22,"46,107,41,63,20","87,59,74,21,95"
97,5233573106,True,4177,1160,0,4,"41,59,31,30,51","38,75,81,27,101"
96,5233568407,False,4111,1474,7,22,"14,69,6,82,22","64,40,114,104,48"
95,5233567917,True,4365,1287,7,22,"102,36,128,4,26","64,101,126,13,93"
94,5233566314,False,4434,1441,7,22,"52,109,58,98,90","86,128,74,10,13"
93,5233566211,False,4835,1700,0,22,"28,14,111,75,1","114,72,50,40,126"
92,5233565711,False,4361,1425,0,22,"44,14,58,51,101","35,28,108,26,104"
91,5233564801,False,4591,2053,7,22,"120,76,12,128,65","51,23,13,93,31"
90,5233563507,False,4235,1961,7,22,"26,10,100,74,32","23,37,44,13,128"
89,5233562304,True,4114,2162,0,4,"31,56,5,78,106","33,16,54,34,64"
88,5233562005,True,4318,1890,7,22,"23,84,112,4,12","114,74,31,42,14"
87,5233561714,False,4158,1902,7,22,"97,44,86,74,31","95,83,28,22,14"
86,5233561304,True,4433,1858,7,22,"11,51,13,54,128","75,16,93,82,26"
85,5233561204,True,4316,2394,7,22,"14,104,34,93,25","28,128,84,74,41"
84,5233561013,True,4226,1893,7,22,"4,22,28,87,74","70,104,26,54,86"
83,5233560904,True,4762,1257,7,22,"14,98,111,6,46","99,10,83,105,126"
82,5233560819,True,4146,1909,7,22,"114,105,6,23,90","103,80,87,28,44"
81,5233560809,True,4534,1577,7,22,"126,55,91,19,31","4,84,58,26,93"
80,5233560713,True,4165,1806,7,22,"12,35,69,112,31","44,13,128,121,120"
79,5233560709,True,4309,2040,7,22,"68,105,67,14,13","97,114,102,101,53"
78,5233560706,True,5872,2175,7,22,"74,87,20,69,8","14,67,25,65,76"
77,5233560402,True,6263,683,7,3,"59,101,87,67,28","45,76,120,62,44"
76,5233560309,False,4615,1547,0,4,"57,49,70,90,31","86,35,16,3,42"
75,5233560305,False,4123,2328,7,22,"86,50,82,120,54","96,37,61,8,27"
74,5233559904,True,4142,1228,0,22,"10,11,7,79,21","126,56,100,47,86"
73,5233559107,False,4109,1930,7,22,"28,44,10,26,75","21,128,6,19,58"
72,5233559000,True,4224,2491,7,22,"68,9,41,14,71","76,93,108,121,31"
71,5233558110,True,6542,1812,7,22,"95,7,10,80,31","82,8,26,96,48"
70,5233557910,False,5218,1702,7,22,"119,93,110,58,11","129,71,62,12,106"
69,5233557813,True,4375,2068,7,22,"19,28,8,14,31","55,70,112,17,129"
68,5233557808,True,4602,1820,7,22,"36,88,87,11,54","99,128,10,120,30"
67,5233557702,True,4353,2698,7,22,"86,104,41,37,73","11,74,23,44,7"
66,5233557405,True,4132,2424,7,22,"15,129,26,20,44","36,14,31,47,70"
65,5233557314,False,4980,1635,7,22,"13,7,113,3,45","28,128,59,54,86"
64,5233557011,True,4330,2413,7,22,"74,6,15,14,26","44,107,99,39,91"
63,5233556811,True,4397,2169,7,22,"126,2,7,1,87","19,31,22,54,14"
62,5233556718,False,4234,1413,7,22,"50,19,10,75,29","36,1,13,20,119"
61,5233556717,True,4463,1350,7,22,"129,14,31,23,54","45,20,6,126,19"
60,5233556716,True,4320,2408,7,22,"89,46,87,120,104","37,114,42,86,67"
59,5233556715,False,4185,1962,7,22,"6,102,77,50,20","64,89,25,35,28"
58,5233556418,True,5028,2213,7,22,"112,8,14,129,45","126,26,12,103,43"
57,5233556417,True,4486,1504,7,22,"13,119,129,63,128","54,58,75,65,57"
56,5233556400,True,4100,2670,7,22,"102,51,74,107,12","101,14,50,100,93"
55,5233556314,True,5398,630,7,22,"50,16,128,51,12","60,93,87,75,106"
54,5233556301,True,4373,2425,7,22,"84,114,74,6,28","20,51,21,121,95"
53,5233556219,False,4578,1354,0,22,"46,72,14,40,62","121,93,21,38,28"
52,5233556210,False,4227,2677,7,22,"5,6,14,74,95","40,85,37,21,93"
51,5233556008,False,4398,1936,7,22,"40,28,13,88,71","128,83,104,93,113"
50,5233555712,False,4435,2795,7,3,"99,50,13,26,10","15,69,39,11,101"
49,5233555013,False,4137,2410,7,22,"112,25,44,108,106","20,17,8,21,9"
48,5233554509,False,4630,2391,7,3,"57,7,37,46,44","121,54,104,31,114"
47,5233554212,True,4114,2593,7,22,"84,25,86,96,15","99,34,47,3,93"
46,5233554115,True,4329,1496,7,22,"54,28,114,9,91","93,108,86,75,23"
45,5233554100,False,4596,2035,7,22,"31,76,86,12,108","8,126,51,5,121"
