,match_id,radiant_win,avg_mmr,duration,lobby_type,game_mode,radiant_team,dire_team
0,6079620305,True,3642,2220,7,22,"74,47,21,68,48","80,84,114,88,75"
1,6079620508,False,4489,1430,7,22,"97,2,42,87,26","88,49,3,8,82"
2,6079621014,False,3843,2135,7,22,"88,106,29,48,79","9,112,32,6,96"
3,6079621018,True,4638,523,0,22,"47,112,53,12,14","68,8,120,58,74"
4,6079621113,True,3513,1980,7,22,"123,53,109,72,80","74,2,46,8,112"
5,6079621401,True,3868,1799,7,22,"21,112,75,111,81","101,59,120,8,23"
6,6079621405,True,4084,1508,0,22,"108,48,35,86,112","39,103,31,41,97"
7,6079621505,False,3908,2017,7,22,"82,75,22,90,42","67,129,123,39,50"
8,6079621600,True,3718,2191,7,22,"87,1,6,123,76","5,48,113,108,121"
9,6079621615,False,3628,2063,7,22,"16,13,26,42,20","62,69,40,114,123"
10,6079621819,False,3777,1445,7,22,"90,129,58,74,8","50,109,39,101,21"
11,6079622003,True,4045,2072,0,22,"10,30,126,9,16","37,14,32,26,78"
12,6079622103,True,3706,2215,7,22,"14,121,135,55,1","112,90,17,12,35"
13,6079622409,False,3629,2274,7,22,"27,18,80,74,77","84,13,21,62,41"
14,6079622712,True,4075,1627,0,22,"32,56,14,35,42","74,27,41,2,45"
15,6079622716,True,4090,1872,0,22,"20,42,9,16,123","58,8,33,120,32"
16,6079622817,False,3799,2170,7,22,"121,2,40,110,67","35,54,87,123,30"
17,6079622903,True,5082,1642,7,22,"12,119,107,99,46","19,13,54,26,58"
18,6079623001,False,3649,1905,7,22,"25,70,44,121,55","26,123,48,2,13"
19,6079623005,False,3843,2314,7,22,"26,108,11,48,87","94,34,23,50,58"
20,6079623115,False,3967,2061,7,22,"90,123,52,25,16","10,68,9,96,8"
21,6079623515,False,3564,2060,0,22,"51,75,35,32,37","83,14,73,4,27"
22,6079623618,False,3537,2246,7,22,"96,42,74,105,123","14,99,26,46,70"
23,6079623718,True,4348,1898,0,22,"85,113,102,35,101","69,100,61,74,95"
24,6079623801,False,3711,2041,7,22,"120,12,94,32,16","4,20,43,6,40"
25,6079624403,True,3588,1830,7,22,"106,16,82,39,10","128,42,6,25,75"
26,6079624716,True,4490,1802,7,22,"2,74,128,75,70","76,67,121,86,69"
27,6079624905,True,3625,1631,7,22,"6,56,51,29,37","78,74,68,3,42"
28,6079625110,True,3500,1940,7,22,"73,51,74,93,104","40,17,1,107,129"
