,match_id,radiant_win,avg_mmr,duration,lobby_type,game_mode,radiant_team,dire_team
99,5235090204,True,5274,1021,7,3,"128,57,56,3,126","87,42,49,72,101"
98,5235083918,True,4404,1257,7,3,"30,36,54,128,28","4,119,95,100,2"
97,5235082204,True,4885,1550,7,22,"19,64,12,65,36","93,59,66,11,129"
96,5235081001,True,5018,952,7,22,"14,78,12,56,31","74,87,9,65,6"
95,5235080919,True,4274,1296,7,22,"64,121,62,59,77","128,34,129,20,6"
94,5235079508,False,5228,691,7,22,"71,82,7,64,13","52,66,98,59,105"
93,5235079201,True,4490,1676,7,22,"25,12,87,99,98","19,13,69,95,83"
92,5235077718,True,5461,1165,7,22,"98,12,107,2,21","19,112,27,70,28"
91,5235077213,True,5202,1133,7,22,"74,5,28,6,128","10,52,14,12,40"
90,5235076501,True,4455,1509,7,22,"4,86,69,128,126","41,7,87,120,74"
89,5235076215,True,4273,1305,7,22,"95,86,84,76,102","107,5,54,28,10"
88,5235076006,False,4421,1519,7,3,"8,68,108,128,11","54,60,110,21,35"
87,5235075719,False,4741,1449,7,22,"53,44,76,84,97","25,68,54,28,92"
86,5235074813,True,4404,1543,7,22,"128,82,86,36,13","126,87,93,129,85"
85,5235074516,True,4896,1331,7,22,"98,87,39,84,10","104,126,86,93,27"
84,5235073302,True,4361,1924,7,22,"17,74,2,71,93","29,42,86,82,50"
83,5235073100,False,4721,1509,7,22,"101,31,17,93,28","86,87,108,54,47"
82,5235072418,True,4144,1700,7,22,"31,128,93,28,11","106,102,13,64,50"
81,5235071515,True,7519,1593,1,2,"129,114,31,77,13","128,126,40,46,7"
80,5235071413,False,4311,1753,7,3,"87,19,74,14,41","4,22,108,71,32"
79,5235071206,False,4335,1864,7,22,"121,46,31,93,104","83,11,75,48,7"
78,5235071117,True,4290,1364,0,4,"71,32,3,82,8","64,110,128,25,28"
77,5235070804,False,4106,1282,1,2,"5,25,41,101,14","4,56,31,99,88"
76,5235070800,True,4313,2043,7,22,"4,41,26,86,108","99,74,88,101,95"
75,5235070112,False,4300,1380,7,22,"4,75,31,96,5","45,120,97,112,17"
74,5235069902,True,4442,2021,7,22,"84,28,26,1,11","74,88,105,15,103"
73,5235069518,False,4181,2042,0,3,"95,7,11,112,40","100,46,87,51,32"
72,5235069302,True,4325,2010,0,22,"106,22,128,89,99","11,84,18,121,30"
71,5235069111,True,4186,1897,7,3,"97,17,49,74,87","128,31,95,69,93"
70,5235068815,False,4203,1316,7,22,"114,83,5,21,71","128,97,98,86,28"
69,5235068802,False,4986,1905,7,22,"85,58,2,6,11","72,38,101,25,84"
68,5235068517,True,4636,1547,7,22,"59,128,10,112,28","120,119,67,74,87"
67,5235068019,True,4831,1929,7,22,"7,4,47,104,111","126,112,21,87,93"
66,5235067117,False,4695,2072,7,22,"93,16,87,103,59","54,101,35,104,119"
65,5235067100,False,4218,1988,7,22,"41,12,58,82,87","74,27,28,8,14"
64,5235066919,True,4343,1171,7,22,"119,74,59,6,28","8,112,7,21,85"
63,5235066814,True,5520,1834,7,22,"120,101,70,111,28","41,4,104,25,128"
62,5235066713,True,4232,1242,7,22,"57,106,101,128,10","28,12,50,61,79"
61,5235066503,True,4851,1626,0,22,"114,59,88,68,41","44,46,79,84,97"
60,5235066302,False,4608,2013,7,22,"45,35,14,67,70","104,84,73,1,74"
59,5235066000,True,5142,1347,7,22,"54,35,68,126,82","31,14,119,108,12"
58,5235065304,False,4254,2063,0,3,"46,67,99,84,90","97,28,31,114,58"
57,5235064914,True,4394,1375,7,22,"120,82,5,99,110","67,51,97,58,37"
56,5235064519,True,4362,1227,7,22,"104,54,26,59,68","53,13,28,25,47"
55,5235064414,False,4912,2217,0,4,"103,70,110,18,8","63,79,34,57,25"
54,5235063916,False,4260,637,0,22,"22,129,128,12,41","101,112,67,3,46"
53,5235063900,False,4556,2159,7,22,"112,54,30,44,97","41,87,29,74,128"
52,5235063800,False,5174,1925,7,22,"76,28,54,50,86","110,31,93,80,120"
51,5235063712,True,4422,2007,7,22,"93,4,84,2,5","57,113,128,28,98"
50,5235063513,True,4863,2122,7,22,"88,82,20,112,32","18,14,46,31,42"
49,5235062816,True,4666,1812,7,22,"20,46,14,58,54","96,10,91,17,86"
48,5235062805,True,5180,1792,7,22,"128,98,8,11,119","14,129,76,87,71"
47,5235062409,True,4125,1490,7,3,"26,97,80,98,62","119,32,93,60,51"
46,5235062315,True,4133,2386,0,22,"129,113,128,26,54","40,11,1,7,47"
45,5235062203,False,4467,1579,7,22,"120,74,41,51,31","27,25,84,126,8"
44,5235062105,True,4411,1157,7,22,"53,25,93,103,38","104,31,106,128,19"
43,5235061914,False,4270,1418,0,4,"7,77,70,48,27","88,114,4,40,69"
42,5235061819,True,4178,1678,7,22,"74,54,86,64,126","7,129,44,17,19"
41,5235061409,True,4153,2251,7,22,"56,121,12,75,96","26,38,126,106,58"
40,5235061406,True,4220,2100,7,22,"74,95,104,7,62","53,9,114,14,11"
39,5235060412,False,5700,1512,7,22,"6,85,87,126,25","14,67,128,23,129"
38,5235060307,False,4118,1974,7,22,"26,126,97,54,25","95,36,87,93,31"
37,5235060103,False,4183,1799,7,22,"100,19,1,59,20","5,80,17,82,104"
