,match_id,radiant_win,avg_mmr,duration,lobby_type,game_mode,radiant_team,dire_team
0,5280059408,False,4551,2434,7,22,"74,41,26,114,7","37,4,17,2,23"
1,5280059509,False,4513,1591,7,22,"128,54,74,86,126","71,69,121,12,34"
2,5280059602,False,4528,1919,7,22,"14,66,93,17,63","11,83,114,84,28"
3,5280060106,True,4617,2421,7,22,"99,64,10,5,11","86,48,74,51,97"
4,5280060108,False,4799,2563,7,3,"120,65,106,15,112","21,104,4,89,5"
5,5280060110,True,4896,1483,7,22,"75,7,39,14,1","9,94,87,8,46"
6,5280060301,True,4883,1141,7,22,"59,86,4,128,77","99,20,70,120,88"
7,5280060802,False,4731,2294,7,22,"120,54,31,11,128","17,86,8,55,69"
8,5280061212,True,4704,1372,7,22,"8,120,34,13,22","105,92,28,10,7"
9,5280061615,True,4514,2300,7,22,"8,38,13,112,86","98,79,14,54,101"
10,5280062601,True,5820,3791,7,22,"17,8,129,27,9","95,20,68,120,40"
11,5280062706,True,4512,1218,0,4,"10,37,36,22,69","9,59,4,19,32"
12,5280063606,False,4582,1684,7,3,"86,12,11,57,100","10,84,22,83,14"
13,5280063709,True,5156,1646,7,22,"128,3,57,53,89","4,119,26,13,14"
14,5280063904,True,4599,3041,0,22,"49,105,129,93,128","108,50,10,39,26"
15,5280063909,False,4688,2095,7,22,"68,32,51,55,15","31,86,1,108,13"
16,5280064801,True,4545,3074,0,3,"3,114,21,14,120","112,7,111,4,97"
17,5280067310,True,5145,2324,7,22,"83,11,88,84,80","62,12,46,75,21"
18,5280067413,False,5770,1977,7,22,"7,28,79,13,10","39,84,33,41,32"
19,5280067414,False,4669,2513,7,3,"64,69,39,95,86","51,49,40,32,27"
20,5280068008,False,4506,2854,7,3,"13,6,22,87,39","58,2,44,31,15"
21,5280069212,True,4553,3272,7,22,"68,47,7,34,95","129,128,65,51,12"
22,5280069606,True,4820,2533,7,22,"119,13,65,4,32","46,25,63,126,40"
23,5280069612,True,4781,2423,7,22,"75,51,48,7,26","107,102,126,119,8"
24,5280069701,True,4981,1228,7,22,"99,93,26,128,82","104,41,108,7,66"
25,5280069712,False,4691,1535,7,22,"47,14,121,42,94","7,11,93,75,28"
26,5280070709,False,4538,2344,7,22,"26,80,95,68,15","63,101,13,102,17"
27,5280070715,False,4859,2901,7,22,"67,17,87,86,74","8,11,128,28,68"
28,5280070717,False,4541,2552,7,22,"114,19,35,13,5","111,31,47,8,96"
29,5280070804,True,4509,1760,7,22,"126,10,84,74,7","86,129,31,4,52"
30,5280071816,False,4684,3113,0,22,"51,84,53,13,95","3,25,28,59,1"
31,5280073302,True,5820,1162,7,22,"11,86,93,121,104","19,32,65,126,111"
32,5280073719,True,5048,1884,7,22,"75,19,68,41,108","82,119,106,13,7"
33,5280074108,False,5130,1975,7,22,"17,32,112,18,101","59,78,12,68,86"
34,5280074207,True,5005,2271,7,22,"72,42,83,84,104","69,8,14,21,48"
35,5280074410,True,4516,2482,7,22,"10,104,128,88,34","93,84,22,102,7"
36,5280075501,True,6377,1644,7,22,"121,14,31,4,126","93,2,128,58,120"
37,5280075609,True,4813,2067,7,22,"52,30,93,95,88","114,129,8,128,119"
38,5280076106,True,5007,1820,0,22,"86,21,18,101,28","106,104,121,1,91"
39,5280077113,True,4707,1969,7,22,"38,114,88,5,82","33,128,74,72,51"
40,5280077807,True,4500,1680,7,22,"45,29,75,101,8","47,14,33,10,26"
41,5280078613,False,4651,1760,7,22,"82,104,95,7,27","108,93,86,11,119"
42,5280079500,False,4778,808,7,22,"47,4,18,17,31","126,102,32,68,25"
43,5280080706,False,4502,2510,7,22,"120,10,20,111,4","105,128,32,78,23"
44,5280081109,True,4611,1957,7,22,"85,3,81,10,41","114,120,101,98,40"
45,5280081419,True,4654,2842,7,22,"126,74,102,129,93","108,89,4,58,128"
46,5280081604,False,5046,1500,7,22,"19,126,51,8,22","18,62,129,106,112"
47,5280081710,True,4584,1507,7,22,"31,93,75,129,88","32,86,95,111,112"
48,5280082211,False,4524,2874,7,3,"40,96,32,5,18","84,100,4,19,12"
49,5280082517,False,4501,2380,7,22,"99,61,87,31,10","129,64,119,106,95"
50,5280082716,True,4587,2514,7,22,"13,126,67,64,98","74,54,10,26,16"
51,5280083017,True,4606,1259,7,22,"73,26,54,5,108","27,7,102,14,93"
52,5280083412,False,4612,1958,7,22,"114,112,13,53,1","129,22,41,68,26"
53,5280083904,False,5435,1939,7,22,"11,126,86,93,64","76,1,51,3,110"
54,5280084707,True,5344,1592,7,22,"52,107,13,31,8","74,1,19,75,128"
55,5280084719,True,4514,2136,7,22,"1,53,39,98,87","31,74,108,83,10"
56,5280085115,False,5238,2094,7,3,"64,7,69,15,89","60,25,106,128,93"
57,5280085400,True,5080,2296,7,3,"15,86,7,32,57","13,93,27,68,97"
58,5280085614,False,5006,2505,7,22,"27,80,93,84,110","9,36,30,54,128"
59,5280085615,False,4809,1674,7,22,"126,67,31,86,129","38,128,12,84,59"
60,5280085711,True,4576,1711,7,22,"126,14,74,64,41","22,2,121,10,106"
61,5280086401,True,4623,2026,7,22,"28,62,128,46,86","74,87,80,13,120"
62,5280086817,False,4722,2223,7,22,"26,106,2,114,19","16,54,36,50,86"
63,5280089200,True,4987,1287,7,22,"25,126,128,75,4","84,76,12,120,69"
64,5280089515,False,5039,2170,7,22,"84,7,46,128,41","51,50,64,67,45"
65,5280089603,False,4569,2350,7,3,"29,84,21,25,93","41,27,59,120,40"
66,5280089906,False,4861,2260,7,22,"8,51,76,5,65","110,31,109,39,129"
67,5280090107,False,5254,2152,0,22,"119,14,72,99,74","36,101,19,42,44"
68,5280090201,False,5762,2243,7,22,"97,126,104,112,54","114,10,129,86,13"
69,5280091008,True,4848,1998,7,22,"40,98,39,86,94","68,13,81,71,120"
70,5280091014,False,4902,2218,7,22,"99,7,80,59,20","25,32,58,13,93"
71,5280091807,False,5063,2100,7,22,"86,9,120,74,1","58,14,19,44,112"
72,5280092100,True,5987,1430,7,22,"13,30,51,93,89","88,68,4,58,45"
73,5280092913,True,4547,1508,7,22,"80,52,128,2,87","86,4,96,31,59"
74,5280094810,False,4742,1348,7,22,"12,26,59,110,105","14,15,8,98,30"
75,5280094907,False,4865,2332,7,22,"98,95,128,46,120","7,25,28,114,10"
76,5280095117,False,5032,1714,0,3,"23,129,101,27,114","86,32,106,5,29"
77,5280095609,False,4580,1662,0,3,"98,13,128,5,8","11,104,15,100,30"
78,5280096501,True,4537,2193,7,22,"93,86,111,13,60","42,83,26,19,74"
79,5280098009,True,4798,2457,7,22,"34,44,7,14,75","21,84,59,31,54"
80,5280098205,False,5553,1417,7,22,"87,1,111,78,13","2,82,86,20,10"
81,5280098316,False,6585,2271,7,22,"25,53,68,10,7","26,16,11,51,44"
82,5280099212,True,5257,2338,7,22,"104,25,68,12,56","93,119,22,35,129"
83,5280099708,False,5581,1807,7,22,"128,8,15,62,98","46,51,28,36,119"
84,5280104717,True,4780,1559,7,22,"98,41,9,128,10","71,96,21,6,40"
85,5280105119,False,4505,1815,7,22,"120,64,88,25,1","74,30,32,51,40"
86,5280105208,True,4862,1347,7,22,"7,82,30,44,25","80,53,14,59,51"
87,5280107011,True,5137,2064,7,22,"104,114,91,20,48","14,102,25,7,81"
88,5280107307,False,4817,938,7,22,"38,119,11,93,126","42,45,46,104,26"
89,5280107814,True,4722,2150,7,22,"38,128,15,59,119","32,31,14,39,98"
90,5280107817,False,6025,1889,7,22,"51,53,42,15,111","13,76,89,86,31"
91,5280110417,True,4691,1681,7,22,"101,32,58,74,104","6,72,68,38,76"
92,5280112802,True,5100,1792,7,22,"51,104,76,68,4","86,10,109,50,120"
93,5280116209,False,5487,1815,7,22,"11,86,98,105,41","13,110,121,46,42"
94,5280116710,False,5206,1651,7,22,"84,42,41,26,11","128,20,28,48,126"
95,5280117500,True,5321,1705,7,22,"26,126,88,10,80","31,11,13,7,54"
96,5280122914,True,4615,1229,7,22,"128,7,16,93,52","31,101,76,98,8"
97,5280126019,False,4574,789,7,22,"54,119,57,13,107","104,31,59,8,45"
98,5280126510,False,5064,1210,7,22,"19,11,126,41,91","93,3,13,57,92"
99,5280138919,True,4551,881,0,22,"34,35,85,93,50","64,120,14,114,11"
