,match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
36,5233534217,4391448297,False,1581199391,2795,4278,6,7,22,68,10,193,"121,91,108,44,114","107,31,58,6,13"
35,5233533815,4391440635,True,1581199337,2109,4353,6,7,22,70,8,136,"67,84,106,88,111","46,75,12,31,33"
34,5233533713,4391438646,True,1581199346,2043,4322,1,7,22,62,5,152,"69,12,75,22,87","119,53,11,114,26"
33,5233533616,4391449246,False,1581199344,2662,4638,5,7,22,71,6,192,"95,13,86,64,51","32,69,128,12,14"
32,5233533105,4391445834,True,1581199310,2569,4371,3,7,22,70,5,122,"121,39,31,114,60","104,4,84,22,14"
31,5233532306,4391448610,True,1581199254,2925,4434,3,7,22,53,4,251,"19,14,30,25,41","114,26,98,106,7"
30,5233532208,4391433343,True,1581199249,1770,4373,2,7,22,61,7,135,"84,104,15,6,30","96,5,1,39,121"
29,5233531602,4391429154,True,1581199178,1399,4916,4,7,22,75,6,132,"21,126,112,12,88","68,11,119,93,129"
28,5233531512,4391445457,True,1581199176,2716,4550,7,7,22,72,8,133,"83,31,120,11,93","113,23,88,84,57"
27,5233531317,4391449307,False,1581199182,3103,4351,6,7,22,59,8,202,"106,31,86,97,96","17,84,98,54,64"
26,5233530406,4391440838,False,1581199121,2453,4615,2,7,22,65,4,137,"121,16,41,128,98","57,59,20,6,53"
25,5233530200,4391438367,False,1581199108,2228,4737,2,7,22,73,4,135,"44,14,128,26,25","6,85,11,84,28"
24,5233530010,4391431409,True,1581199087,1799,4685,3,7,22,77,6,132,"25,11,6,58,16","31,119,59,8,15"
23,5233530005,4391439375,False,1581199092,2383,4923,1,7,22,32,5,187,"58,114,50,54,28","70,75,27,99,106"
22,5233529910,4391428699,True,1581199083,1575,4635,4,7,22,80,6,181,"32,58,128,34,28","26,121,40,104,12"
21,5233529711,4391440916,True,1581199062,2494,4804,2,0,22,53,6,144,"70,86,74,54,83","114,93,32,97,30"
20,5233529710,4391426376,True,1581199072,1268,4294,7,7,22,69,8,184,"50,114,16,40,82","101,62,81,68,14"
19,5233529603,4391430323,True,1581199066,1711,4524,7,0,22,65,8,136,"5,50,38,1,17","67,55,34,128,31"
18,5233529314,4391433789,False,1581199029,2016,4176,2,7,22,54,5,136,"104,87,39,1,10","14,31,73,19,94"
17,5233529303,4391433508,False,1581199043,1959,4558,3,7,22,68,7,192,"93,25,28,14,11","128,99,41,4,21"
16,5233529100,4391444922,True,1581199016,2937,4108,2,7,22,60,5,188,"104,68,107,126,12","93,88,84,47,69"
15,5233528712,4391443102,False,1581199003,2713,5026,1,7,22,46,6,136,"13,80,87,86,32","74,25,12,14,51"
14,5233528318,4391425537,True,1581198972,1427,5776,4,7,22,80,7,188,"17,25,84,114,104","11,70,31,28,91"
13,5233528117,4391424321,False,1581198952,1357,5762,5,7,22,80,6,122,"93,103,38,121,91","8,126,31,5,51"
12,5233528112,4391426594,True,1581198965,1565,5670,6,7,22,79,8,136,"7,54,11,3,28","30,86,13,98,95"
11,5233528019,4391435749,False,1581198943,2028,4179,4,7,22,67,7,122,"21,45,111,54,58","93,15,19,11,91"
10,5233527806,4391434114,True,1581198930,1822,4522,4,7,22,58,8,132,"119,75,54,69,97","83,8,112,114,23"
9,5233527600,4391431416,True,1581198929,1942,4301,7,7,22,70,8,135,"129,23,128,19,44","21,109,88,28,86"
8,5233527505,4391444834,False,1581198920,2870,4297,6,7,22,64,8,131,"17,128,72,33,57","12,86,34,23,13"
7,5233527502,4391442040,False,1581198914,2461,4240,2,7,2,43,5,183,"97,86,44,31,20","3,121,74,104,95"
6,5233527416,4391442858,True,1581198915,2818,4143,4,0,22,69,4,123,"65,114,19,44,86","76,121,28,63,69"
5,5233527204,4391426389,True,1581198903,1552,4415,1,7,22,64,3,251,"93,15,27,14,98","3,129,9,74,54"
4,5233527004,4391431648,False,1581198889,1969,5071,2,7,22,64,6,134,"21,37,89,2,14","104,25,95,84,9"
3,5233526718,4391424450,False,1581198866,1500,4349,1,7,22,48,5,187,"93,84,80,46,58","38,59,5,54,20"
2,5233526713,4391432298,False,1581198862,1887,5717,5,7,22,79,7,137,"37,129,44,7,76","98,57,86,25,59"
1,5233526701,4391441313,True,1581198866,2670,5147,1,7,22,64,5,153,"44,104,35,84,65","22,93,21,34,14"
0,5233526604,4391424382,False,1581198858,1464,4720,3,7,22,61,6,111,"59,6,75,20,46","54,47,128,84,36"
